# M_MTOT,R_RTOT,MATM_MTOT,RATM_RTOT,M_G,R_CM,REQ_CM,P_CGS,T_K,RHO_GCC,L_CGS,S_CGS,KROSS_CGS,GRADT,GRADAD,GRADRAD,TAUV,VSOUND_CGS,CP_CGS,X,Y,Z
 9.99999714696D-01, 9.99470157952D-01,-2.85303870418D-07,-5.29842047680D-04, 1.89861065832D+30, 6.98561609181D+09, 7.14523377253D+09, 3.15618944429D+06, 2.60265342688D+02, 3.37578006446D-04, 1.00000000000D+00, 5.21186383980D+08, 1.00000000000D+33, 3.03022155310D-01, 3.03016452139D-01, 4.78519530553D+33, 0.00000000000D+00, 1.16013853614D+05, 1.18627568930D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999700979D-01, 9.99452358940D-01,-2.99020956884D-07,-5.47641059628D-04, 1.89861063228D+30, 6.98549168883D+09, 7.14510268577D+09, 3.25996107458D+06, 2.62826936975D+02, 3.45252413235D-04, 1.00000000000D+00, 5.21186364970D+08, 1.00000000000D+33, 3.02554696612D-01, 3.02549137387D-01, 4.75263971747D+33, 0.00000000000D+00, 1.16555340714D+05, 1.18765523218D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999686804D-01, 9.99434374405D-01,-3.13195745005D-07,-5.65625594628D-04, 1.89861060536D+30, 6.98536598917D+09, 7.14497023317D+09, 3.36720334165D+06, 2.65412291533D+02, 3.53108274206D-04, 1.00000000000D+00, 5.21186333295D+08, 1.00000000000D+33, 3.02377464370D-01, 3.02372044298D-01, 4.72049124991D+33, 0.00000000000D+00, 1.17125456141D+05, 1.18861778043D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999672164D-01, 9.99416211335D-01,-3.27836454428D-07,-5.83788664525D-04, 1.89861057757D+30, 6.98523904167D+09, 7.14483646621D+09, 3.47797905118D+06, 2.68022736300D+02, 3.61143397973D-04, 1.00000000000D+00, 5.21186379569D+08, 1.00000000000D+33, 3.02335182529D-01, 3.02329896283D-01, 4.68859155765D+33, 0.00000000000D+00, 1.17698971386D+05, 1.18907229045D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999657039D-01, 9.99397865283D-01,-3.42960699617D-07,-6.02134716999D-04, 1.89861054885D+30, 6.98511081525D+09, 7.14470135214D+09, 3.59242210291D+06, 2.70658163601D+02, 3.69365383399D-04, 1.00000000000D+00, 5.21186438962D+08, 1.00000000000D+33, 3.02066519559D-01, 3.02061364130D-01, 4.65698489377D+33, 0.00000000000D+00, 1.18251414559D+05, 1.18968457313D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999641409D-01, 9.99379326553D-01,-3.58591381033D-07,-6.20673446801D-04, 1.89861051917D+30, 6.98498124215D+09, 7.14456481959D+09, 3.71070645334D+06, 2.73317791740D+02, 3.77785725117D-04, 1.00000000000D+00, 5.21186488260D+08, 1.00000000000D+33, 3.01583546612D-01, 3.01578519409D-01, 4.62580143201D+33, 0.00000000000D+00, 1.18785283736D+05, 1.19052580820D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999625251D-01, 9.99360589594D-01,-3.74749043575D-07,-6.39410406444D-04, 1.89861048850D+30, 6.98485028356D+09, 7.14442682766D+09, 3.83298826110D+06, 2.76001349360D+02, 3.86412705855D-04, 1.00000000000D+00, 5.21186287272D+08, 1.00000000000D+33, 3.01408623578D-01, 3.01403721523D-01, 4.59509690361D+33, 0.00000000000D+00, 1.19350390416D+05, 1.19139248685D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999608568D-01, 9.99341674516D-01,-3.91432058322D-07,-6.58325483858D-04, 1.89861045682D+30, 6.98471808004D+09, 7.14428752451D+09, 3.95925595134D+06, 2.78711825499D+02, 3.95232044247D-04, 1.00000000000D+00, 5.21186280963D+08, 1.00000000000D+33, 3.01665639621D-01, 3.01660858772D-01, 4.56450837861D+33, 0.00000000000D+00, 1.19958806450D+05, 1.19195890916D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999591347D-01, 9.99322584814D-01,-4.08652518158D-07,-6.77415186458D-04, 1.89861042413D+30, 6.98458465601D+09, 7.14414693587D+09, 4.08960175817D+06, 2.81450154693D+02, 4.04243197047D-04, 1.00000000000D+00, 5.21186291718D+08, 1.00000000000D+33, 3.02023009169D-01, 3.02018346159D-01, 4.53395362106D+33, 0.00000000000D+00, 1.20580262785D+05, 1.19239373696D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999573574D-01, 9.99303320364D-01,-4.26425904920D-07,-6.96679635663D-04, 1.89861039038D+30, 6.98445001063D+09, 7.14400506086D+09, 4.22414365052D+06, 2.84216829011D+02, 4.13448552945D-04, 1.00000000000D+00, 5.21186323959D+08, 1.00000000000D+33, 3.02328151924D-01, 3.02323604042D-01, 4.50341063226D+33, 0.00000000000D+00, 1.21202320106D+05, 1.19291192172D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999555213D-01, 9.99283861489D-01,-4.44786868337D-07,-7.16138510673D-04, 1.89861035552D+30, 6.98431400634D+09, 7.14386175456D+09, 4.36314471258D+06, 2.87009863462D+02, 4.22867722276D-04, 1.00000000000D+00, 5.21186364246D+08, 1.00000000000D+33, 3.01725880949D-01, 3.01721446108D-01, 4.47315931432D+33, 0.00000000000D+00, 1.21750609511D+05, 1.19371531339D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999536228D-01, 9.99264189016D-01,-4.63771958392D-07,-7.35810984416D-04, 1.89861031948D+30, 6.98417650914D+09, 7.14371687580D+09, 4.50688251428D+06, 2.89827302188D+02, 4.32521194464D-04, 1.00000000000D+00, 5.21186387748D+08, 1.00000000000D+33, 3.01032868117D-01, 3.01028544074D-01, 4.44345826096D+33, 0.00000000000D+00, 1.22292635617D+05, 1.19471782078D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999516596D-01, 9.99244299395D-01,-4.83404495100D-07,-7.55700604844D-04, 1.89861028220D+30, 6.98403749423D+09, 7.14357039847D+09, 4.65553456288D+06, 2.92669140310D+02, 4.42416646852D-04, 1.00000000000D+00, 5.21186394468D+08, 1.00000000000D+33, 3.00350964618D-01, 3.00346748663D-01, 4.41432070037D+33, 0.00000000000D+00, 1.22836176714D+05, 1.19571856636D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999496295D-01, 9.99224192657D-01,-5.03705053001D-07,-7.75807343359D-04, 1.89861024366D+30, 6.98389696181D+09, 7.14342232279D+09, 4.80925757241D+06, 2.95535827554D+02, 4.52558810852D-04, 1.00000000000D+00, 5.21186078145D+08, 1.00000000000D+33, 3.00101077418D-01, 3.00096966397D-01, 4.38570635151D+33, 0.00000000000D+00, 1.23419170578D+05, 1.19650884715D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999475333D-01, 9.99203895221D-01,-5.24666953439D-07,-7.96104778910D-04, 1.89861020386D+30, 6.98375509655D+09, 7.14327284336D+09, 4.96800199060D+06, 2.98431178705D+02, 4.62927330730D-04, 1.00000000000D+00, 5.21186062151D+08, 1.00000000000D+33, 3.00364777656D-01, 3.00360768120D-01, 4.35719559432D+33, 0.00000000000D+00, 1.24051473983D+05, 1.19694863351D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999453696D-01, 9.99183412113D-01,-5.46304071092D-07,-8.16587887138D-04, 1.89861016278D+30, 6.98361193357D+09, 7.14312199720D+09, 5.13187384715D+06, 3.01356358942D+02, 4.73520020472D-04, 1.00000000000D+00, 5.21186064868D+08, 1.00000000000D+33, 3.00776363975D-01, 3.00772453156D-01, 4.32869127754D+33, 0.00000000000D+00, 1.24707184511D+05, 1.19715667649D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999431366D-01, 9.99162744757D-01,-5.68634047293D-07,-8.37255242956D-04, 1.89861012039D+30, 6.98346748282D+09, 7.14296979484D+09, 5.30100779063D+06, 3.04312100772D+02, 4.84337550602D-04, 1.00000000000D+00, 5.21186078366D+08, 1.00000000000D+33, 3.01231379390D-01, 3.01227564839D-01, 4.30015039144D+33, 0.00000000000D+00, 1.25371867826D+05, 1.19737593226D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999408304D-01, 9.99141875785D-01,-5.91695942798D-07,-8.58124214579D-04, 1.89861007660D+30, 6.98332162291D+09, 7.14281610837D+09, 5.47570076431D+06, 3.07296759324D+02, 4.95399973886D-04, 1.00000000000D+00, 5.21186140486D+08, 1.00000000000D+33, 3.00702826457D-01, 3.00699106376D-01, 4.27178991673D+33, 0.00000000000D+00, 1.25944173855D+05, 1.19787353798D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999384456D-01, 9.99120776914D-01,-6.15544014426D-07,-8.79223085703D-04, 1.89861003132D+30, 6.98317415616D+09, 7.14266072952D+09, 5.65636490095D+06, 3.10307264656D+02, 5.06739556179D-04, 1.00000000000D+00, 5.21186181758D+08, 1.00000000000D+33, 2.99915393446D-01, 2.99911766276D-01, 4.24396464829D+33, 0.00000000000D+00, 1.26494575924D+05, 1.19872188230D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
